country_code,year,BN.KLT.DINV.CD,BX.KLT.DINV.WD.GD.ZS,BX.KLT.DINV.CD.WD,BM.KLT.DINV.GD.ZS,BN.TRF.KOGT.CD,BN.FIN.TOTL.CD,BX.KLT.DREM.CD.DT,BN.RES.INCL.CD,BN.CAB.XOKA.GD.ZS,BN.GSR.GNFS.CD,BX.GSR.MRCH.CD,BM.GSR.MRCH.CD,BM.GSR.TOTL.CD,BX.GSR.INSF.ZS,BM.GSR.INSF.ZS,BX.GSR.TRAN.ZS,BM.GSR.TRAN.ZS,BX.GSR.TRVL.ZS,BM.GSR.TRVL.ZS,BX.GRT.EXTA.CD.WD,BX.GRT.TECH.CD.WD,FI.RES.TOTL.DT.ZS,DT.AMT.PNGC.CD,DT.AMT.PCBK.CD,DT.AMT.MLAT.CD,DT.DSB.DPPG.CD,DT.DSF.DPPG.CD,DT.IXA.DPPG.CD,DT.IXA.OFFT.CD,DT.DOD.DECT.CD.CG,DT.CUR.OTHC.ZS,DT.DOD.PRVS.CD,DT.DOD.PUBS.CD,DT.DOD.DSTC.CD,DT.DOD.DECT.GN.ZS,NY.GNP.MKTP.KD.ZG,NY.GNP.PCAP.KD.ZG,NY.GDP.PCAP.KN,NY.GDP.PCAP.PP.CD,SE.PRM.GINT.ZS,SE.PRM.NINT.ZS,SE.PRM.PRS5.ZS,SE.PRM.PRSL.ZS,SE.SEC.PROG.ZS,SE.PRM.REPT.ZS,SE.SEC.REPT.ZS,SE.XPD.MTOT.ZS,SE.XPD.CPRM.ZS,SE.XPD.PRIM.ZS,SE.XPD.SECO.ZS,SE.XPD.TERT.ZS,SE.XPD.TOTL.GD.ZS,SE.XPD.PRIM.PC.ZS,SE.SEC.AGES,SE.PRM.TCHR,SE.PRM.AGES,SE.PRM.ENRL.TC.ZS,SE.SEC.ENRL.TC.ZS,SE.SEC.TCHR,SE.ADT.LITR.ZS,SE.SEC.CMPT.LO.ZS,SE.PRM.CMPT.ZS,SE.PRM.DURS,SE.SEC.DURS,SE.PRM.UNER,SE.PRM.ENRL,SE.PRM.ENRR,SE.PRM.PRIV.ZS,SE.SEC.ENRR,SE.TER.ENRR,SE.SEC.ENRL.GC,SE.SEC.ENRL.VO,AG.AGR.TRAC.NO,AG.LND.TRAC.ZS,EA.PRD.AGRI.KD,AG.YLD.CREL.KG,AG.CON.FERT.ZS,AG.PRD.FOOD.XD,AG.PRD.LVSK.XD,EN.URB.LCTY,EN.URB.LCTY.UR.ZS,EN.URB.MCTY.TL.ZS,SP.RUR.TOTL,SP.RUR.TOTL.ZS,SP.URB.TOTL,SP.URB.TOTL.IN.ZS,SP.URB.GROW,EN.ATM.METH.AG.ZS,EN.ATM.NOXE.AG.ZS,EN.ATM.CO2E.PC,EN.ATM.PM25.MC.M3,EN.ATM.PM25.MC.ZS,EG.ELC.ACCS.ZS,EG.ELC.ACCS.RU.ZS,EG.ELC.ACCS.UR.ZS,EG.NSF.ACCS.ZS,EG.NSF.ACCS.RU.ZS,EG.NSF.ACCS.UR.ZS,EG.USE.COMM.CL.ZS,EG.USE.CRNW.ZS,EG.USE.ELEC.KH.PC,EG.ELC.LOSS.ZS,EG.ELC.COAL.ZS,EG.ELC.NUCL.ZS,EG.ELC.RNWX.ZS,EG.FEC.RNEW.ZS,ER.H2O.FWAG.ZS,ER.H2O.FWDM.ZS,ER.H2O.FWIN.ZS,ER.GDP.FWTL.M3.KD,AG.LND.IRIG.AG.ZS,AG.LND.AGRI.ZS,AG.LND.ARBL.ZS,EN.CLC.DRSK.XQ,EN.CLC.MDAT.ZS,AG.LND.FRST.ZS,AG.LND.TOTL.K2,AG.LND.EL5M.ZS,EN.POP.EL5M.ZS,FB.CBK.BRWR.P3,FB.CBK.BRCH.P5,FB.CBK.DPTR.P3,FB.BNK.CAPA.ZS,FB.AST.NPER.ZS,FS.AST.CGOV.GD.ZS,FM.AST.PRVT.ZG.M3,FS.AST.DOMS.GD.ZS,FD.AST.PRVT.GD.ZS,FM.AST.NFRG.CN,CM.MKT.LCAP.GD.ZS,CM.MKT.TRAD.GD.ZS,FP.CPI.TOTL,NY.GDP.DEFL.ZS,FP.CPI.TOTL.ZG,NY.GDP.DEFL.KD.ZG,PX.REX.REER,FR.INR.DPST,FR.INR.LNDP,FR.INR.LEND,FR.INR.RINR,FR.INR.RISK,FD.RES.LIQU.AS.ZS,SH.MLR.TRET.ZS,SH.IMM.IDPT,SH.STA.ACSN,SH.TBS.DTEC.ZS,SH.MED.CMHW.P3,SH.XPD.PCAP.PP.KD,SH.XPD.PRIV.ZS,SH.XPD.PUBL.ZS,SH.XPD.PUBL.GX.ZS,SP.DYN.LE00.IN,SH.DTH.IMRT,SP.DYN.CBRT.IN,IT.MLT.MAIN,GB.XPD.RSDV.GD.ZS,SI.DST.10TH.10,SI.DST.FRST.10,SI.POV.2DAY,IC.FRM.BRIB.ZS,IC.FRM.FEMO.ZS,IC.FRM.FEMM.ZS,IC.BUS.NREG,IC.TAX.METG,IC.TAX.OTHR.CP.ZS,IC.PRP.PROC,IC.TAX.DURS,IC.TAX.TOTL.CP.ZS,MS.MIL.TOTL.P1,MS.MIL.XPND.GD.ZS,GC.BAL.CASH.GD.ZS,GC.DOD.TOTL.GD.ZS,GC.DOD.TOTL.CN,GC.XPN.TOTL.GD.ZS,SL.TLF.0714.SW.TM,SL.TLF.0714.WK.TM,SL.AGR.0714.ZS,SL.MNF.0714.ZS,SL.SRV.0714.ZS,SL.AGR.EMPL.ZS,SL.IND.EMPL.ZS,SL.SRV.EMPL.ZS,SL.GDP.PCAP.EM.KD,SL.TLF.PART.ZS,SL.EMP.SELF.ZS,SL.TLF.ACTI.1524.NE.ZS,SL.TLF.PRIM.ZS,SL.TLF.SECO.ZS,SL.TLF.TERT.ZS,SM.POP.TOTL.ZS,SL.UEM.LTRM.ZS,SL.UEM.PRIM.ZS,SL.UEM.SECO.ZS,SL.UEM.TERT.ZS,SL.UEM.TOTL.NE.ZS,country,life_expectancy,gdp
MDG,2000,,2.13923580387192,8.295258070549878E7,,,,4220181.8821,,,,,,,,,,,,,1.1323E8,8.523E7,6.04679602345839,0.0,378000.0,3.7063E7,0.0,0.0,2.03425E8,1.8972E8,-5.4806E7,9.4041,1.22136E8,4.163685E9,3.01155E8,123.87858318896099,4.05550506297625,0.870066437684144,29611.2471022993,1146.17779366731,109.912269592285,,36.1403388977051,36.1403388977051,62.600669860839794,27.936700820922898,16.2998905181885,,,,,,2.91135001182556,,11.0,46051.0,6.0,47.95381164550779,,,70.68617248535159,13.8652000427246,35.8883285522461,5.0,7.0,771743.0,2208321.0,99.63477325439449,22.618360519409197,,2.18512988090515,354254.0,,774.0,2.66896551724138,224.63523106191602,1889.806,,88.44,102.08,1361482.0,31.883704319520398,8.64717906108876,1.1474661E7,72.879,4270150.0,27.121,4.10220465344459,,,0.119012987834532,5.76580654205218,0.0,11.39801,6.6,24.2911249585192,1.9999980926514,,,,,,,,,,78.37633254870809,,,,,,69.6426729029817,4.98675929428758,,,22.3939883756921,581540.0,1.338625,2.034768,,,,7.1,8.6,,,,,,,,38.113613360324,1125.72972462875,11.8596845000279,7.233168831456551,,15.0,11.5,26.5,17.967231014898104,,,61.0,57.0,10.3,,,57.49103247,2.50730223782891,2.46973575217109,15.54588765,58.4728048780488,44830.0,41.123,54995.0,0.11976,,,,,,,,,,,,,28500.0,1.21751014267847,-2.04366406598379,111.879461393345,5.8719E12,10.619965290863698,,,,,,,,,1709.0,,,,,,,0.265071457510668,,,,,5.800000190734861,Madagascar,57.9,245.939659
MDV,2007,-1.324320808E8,7.58488895596867,1.32432080785582E8,,4.60557096E7,-1.434317443E8,2.4219E8,7.670921979E7,-15.4038728724072,1.681939918E8,2.269561104E8,1.304793082E9,1.9429908288E9,0.30835697103189397,3.89074599502176,1.82608062317303,44.294823506188095,96.0476734942019,36.906799435908496,2.034E7,8730000.0,37.4482020493881,2.0454E7,1.0444E7,8588000.0,0.0,0.0,2000.0,2000.0,2.75243E8,14.3291,2.39488E8,3.95437E8,1.8979E8,55.1924996640049,,,53345.1854990057,9250.39576472451,94.6769866943359,70.3206405639648,93.0130996704102,,98.5297470092773,,7.287720203399661,,,,,,5.35305976867676,,13.0,3463.0,6.0,14.516320228576697,,,,107.747772216797,,7.0,5.0,3288.0,50270.0,104.85368347167999,1.2393100261688201,,11.3353796005249,31903.0,,,,3106.50650132718,1916.667,87.3333333333333,83.94,99.44,,,,222303.0,63.697,126697.0,36.303,8.25089723172533,,,2.62679083094556,,,,,,,,,,,,,,,,4.134691689604081,,,,,,23.3333333333333,10.0,,,3.3333333333333304,300.0,,,193.961147105317,13.876926200360698,974.5573864634661,,,0.29185198454273803,51.6617454024831,63.249998172586096,55.917318091004894,-5.104380051344E8,,,80.3577760492882,120.04201831678,7.3729873784811994,6.865328757005191,,6.5,6.5,13.0,5.74056273849499,7.5,22.258173437122696,,98.0,92.6,88.0,2.269,578.59130403,2.31338333612031,3.9782492238796903,9.43137867,75.39970731707321,101.0,20.77,33063.0,,,,,,,,1043.0,,,,0.0,9.3,,,-3.3746798834646294,31.229928392256998,6.97951E9,29.3532716832622,,,,,,,,,,,,,,,,,,,,,,Maldives,75.4,52.862285
PAN,2009,-1.2593E9,4.18706195925956,1.0855E9,-0.670392785370163,3.0E7,2.015E8,1.31E9,5.70525762E8,-0.62834858881933,1.1588E9,1.20707E10,1.42158E10,1.93135E10,7.41428259445294,14.40960335935,57.1249181043896,55.128029576886206,26.9982528936449,15.422885572139302,3.337E7,1.918E7,26.934910116098102,0.0,3.5637E7,1.34302E8,0.0,0.0,0.0,0.0,1.962499E9,3.9999999999906804E-4,1.135989E9,9.798086E9,0.0,41.1436983093025,3.74851532578633,1.97860590911414,6734.30726124986,14099.7158290224,98.47479248046879,,94.5850601196289,93.7548599243164,98.7478485107422,5.17354011535645,5.33882999420166,,,,,,,,12.0,18651.0,6.0,23.624849319457997,14.656479835510302,18750.0,,67.06381225585939,96.04029083251949,6.0,6.0,33430.0,440627.0,103.056900024414,11.752340316772498,69.08306884765629,43.030040740966705,230294.0,44515.0,,,3908.2563516855394,2095.258,47.5462962962963,103.57,116.38,1472442.0,63.811469442094605,41.3676907996598,1251913.0,35.172,2307488.0,64.828,2.16592065567095,,,2.4158882351272,,,,,,,,,9.95938001957933,15.0721037324285,1689.61013383994,13.0591111750324,0.0,0.0,0.33079246368473997,25.811009500559003,,,,,,30.0188323917137,7.263922518159809,,0.196361451621855,63.4328759752489,74340.0,,,,22.2035339891757,,10.8398477200809,3.31176945762491,-8.46463608622532,2.36309025002676,77.8011005812475,75.53795376142808,7.8495540569372E9,29.7877346664044,,96.62649023974821,108.155994342952,2.4090530408218997,0.20163470434764003,,3.48893459661483,4.7588054879657395,8.24774008458057,8.02991428630237,,1.495007959717,,85.0,71.8,76.0,,1050.48460769,1.9274980896199798,5.632765160380019,14.70120404,76.6769512195122,1302.0,20.629,536356.0,0.13817,40.49,1.25,9.46,,,,37710.0,,,8.0,482.0,43.8,12000.0,,,,,,,,,,,18.0,19.2000007629395,62.7999992370605,,19.2999992370605,35.2999992370605,49.7999992370605,25.5,46.5999984741211,24.100000381469698,,20.8999996185303,13.1999998092651,62.4000015258789,24.100000381469698,6.599999904632571,Panama,76.8,7429.628274
ROM,2011,-2.557E9,1.37945652535528,2.557E9,,9.88E8,-6.729E9,6.74E8,-5.638941493E7,-4.4906515905582305,-9.879E9,5.5845E10,6.837E10,8.2665E10,2.6818971939409,10.185479597244301,25.9167287476202,19.936406995230502,11.7622713351544,20.8373078961314,,,40.1704918087543,1.4454281E10,4.96476E8,6.76748E8,0.0,0.0,1175000.0,890000.0,4.208515E9,1.825,5.8137357E10,2.4227333E10,1.9498307E10,66.6156885605325,0.8667416989599269,1.3640932708550102,16822.9918826766,17624.5217969712,94.5486068725585,,,94.0499420166016,99.3432083129883,1.6426899433136002,1.7256499528884899,55.575279235839794,95.38577270507808,15.8024396896362,34.160148620605504,27.6819496154785,3.0733699798583998,11.8467798233032,11.0,47560.0,7.0,17.3667392730713,12.960350036621099,137170.0,98.6042861938477,104.401679992676,97.2960586547852,4.0,8.0,66744.0,825962.0,96.10533905029301,0.34130001068115196,95.9855804443359,51.5972900390625,1196416.0,581355.0,,,11274.0948228239,3991.709,54.134963868816,101.29,92.59,1884771.0,17.3366382115025,9.35484988530603,9275922.0,46.04,1.0871606E7,53.96,-0.248797870803971,,,4.21056012429912,17.6061058541686,99.86492660116859,,,,,,,12.4936281548335,10.299654085263999,2639.03343377907,11.517927708511401,40.005483959418704,18.9470797916095,2.55971870514041,21.112732139261897,,,,,0.739522242883708,60.7464048312117,39.079810574792496,3.25,,28.605813094669198,230170.0,,,226.37924117171502,34.9366636154053,,8.0723723842756,14.327956595141499,7.72639061722479,6.36318003502396,48.8895599075699,38.8990375524777,-4.3647440684805E10,7.565658175620049,1.7277323384866599,105.78777737988001,166.724011828583,5.78777737987998,4.7406438828677695,102.86414279881001,6.2975,5.83,12.1275,7.05252120217344,4.81,23.6251569688273,,89.0,77.9,84.0,,957.64137053,1.1640658394563999,4.4389485805436,11.26065398,74.5634146341464,2411.0,9.7,4680000.0,0.50059,21.44,3.66,4.46,,,,65842.0,,,8.0,222.0,43.5,151300.0,1.28390301703848,-5.04620628282957,,,34.6840380146095,,,,,,26.0,29.899999618530302,44.0999984741211,11649.0,10.6999998092651,33.2000007629395,30.7000007629395,23.2999992370605,59.4000015258789,16.8999996185303,,41.0,22.899999618530302,65.099998474121,11.1000003814697,7.199999809265139,Romania,74.3,92.277825
SLV,2005,-3.9824E8,2.99020697562859,5.1114E8,0.6604733880120279,9.36E7,-9.7697E8,1.81E8,-1.903027973E8,-3.63634768161556,-3.16609E9,1.8641E9,5.3935E9,7.17322E9,2.67247620143028,10.962394143820902,24.677442271131202,46.6529711497058,24.4176369897769,18.4889478972298,1.4276E8,8.583E7,19.8757674743114,1.60483E8,1.4434E7,1.85679E8,0.0,0.0,0.0,0.0,7.47309E8,0.7042999999999889,2.626227E9,4.79842E9,1.856314E9,56.112693106875106,3.58922925662691,3.20399239355729,1422.2981346198499,6279.11326090638,130.323913574219,63.74980163574221,72.08721923828129,67.2933197021484,95.2351913452148,6.41415977478027,3.47457003593445,66.8642196655273,,51.0003509521484,29.088130950927702,11.149559974670401,2.7324600219726602,8.09430980682373,13.0,24179.0,7.0,43.239341735839794,28.9198894500732,18126.0,,67.3856201171875,84.40489196777341,6.0,6.0,50383.0,1045484.0,112.808456420898,9.75032043457031,61.8712882995605,21.169420242309602,416339.0,107863.0,,,2678.91373801917,2632.667,130.60113960114,99.21,101.45,1073945.0,29.2920666802315,18.057975459400602,2280872.0,38.352,3666334.0,61.648,1.25403421738265,52.7182187262116,74.99463864464941,1.08520202595975,13.466969761495,90.8174257463707,,,,,,,23.2287608930088,32.1413446156297,768.764357582367,11.092680904001698,0.0,0.0,23.6367406178727,47.1916378858161,,,,,1.9233226837060702,75.53088803088801,33.8803088803089,,,14.9131274131274,20720.0,,,,,,11.1,1.9,,,,,,21.1945266704887,0.42705542360388005,84.46711310872679,202.085426838639,4.6909487090377,4.47789577296011,,,,,,,,,89.0,66.8,97.0,,442.66129701,3.3776461162128197,3.81255309378718,15.53947878,70.17892682926829,2470.0,20.422,971455.0,,36.35,1.35,20.88,,,,1717.0,,,5.0,320.0,34.7,16000.0,0.994512630310405,-4.37468555850659,48.3368238776632,8.2626E9,17.605798593642103,,,,,,20.0,22.2000007629395,54.7999992370605,,22.7000007629395,43.2000007629395,,53.9000015258789,22.7000007629395,10.3999996185303,0.60298903384211,,53.7000007629395,27.600000381469698,10.3999996185303,7.199999809265139,El Salvador,71.0,2835.281237
TCD,2009,,4.05144687410707,3.749E8,,,,0.0,,,,,,,,,,,,,5.394E8,3.464E7,33.0427728294003,0.0,0.0,3.5476E7,0.0,0.0,3924000.0,2564000.0,6.391E7,19.4853,0.0,1.7498561857E9,3924000.0,21.0460521966816,,,340010.206988641,1694.8215714974401,105.396118164063,,36.5061683654785,27.809669494628896,91.3739166259766,22.826219558715803,18.8340892791748,,60.5570411682129,59.241249084472706,28.334039688110398,12.3766403198242,2.3117399215698198,9.31849002838135,12.0,27388.0,6.0,61.0196113586426,32.3304481506348,13043.0,,17.2712001800537,31.4605007171631,6.0,7.0,,1671205.0,83.1560287475585,8.5709400177002,23.2562103271484,2.026859998703,416978.0,4708.0,,,,829.715,,107.08,110.2,997947.0,39.527021005489296,8.66985765648599,8985814.0,78.066,2524721.0,21.934,3.4249742252427997,,,0.0426894145233041,,,,,,,,,,,,,,,,91.0654463886634,,,,,,39.1796378653113,3.4148665819567996,,2.71464102500458,4.4747458703939005,1259200.0,,,,0.568661983004734,,,,2.39929412775001,5.8860352052322105,7.18479124639487,3.91894167328364,2.38850818828138E11,,,102.12195716755699,111.64292374648899,9.952422907488641,-9.55875447756326,,3.25,,,,,25.9688417845293,,24.0,11.4,48.0,,59.4937406,2.2325534063826202,1.2315227936173798,5.45185086,49.39317073170729,50040.0,47.735,58267.0,,,,,35.0,40.1,6.8,,3.4,,6.0,732.0,71.3,35030.0,7.98513561226523,,,,,,,,,,,,,,,,,,,,,,,,,,Chad,57.0,84.455939
UKR,2010,-5.759E9,4.72880302317912,6.451E9,0.507259601928376,1.88E8,-1.477E9,2.218E9,5.044902813E9,-2.21083086620807,-3.982E9,4.7299E10,5.6896E10,7.6332E10,2.76641021443771,9.22750157331655,43.6023353522126,32.119257394587805,20.668958367435998,29.4367526746381,3.4286E8,2.3631E8,27.638732111132,2.0637661E10,1.4286E7,2.79636E8,0.0,0.0,1.670813E9,0.0,2.0755692E10,2.0000000000663899E-4,5.6680584E10,2.487654E10,2.7263813E10,93.0604313399511,4.85940295452241,5.27682250511783,7055.2961367496,7685.569632012959,108.41832733154301,86.5220413208008,,98.15821075439449,99.86669921875,0.0710299983620644,0.0104499999433756,,,,,,,,10.0,98371.0,6.0,15.6578903198242,,,,115.62725830078101,98.8713607788085,4.0,7.0,89371.0,1540282.0,102.362892150879,0.548799991607666,95.39096069335942,76.6554870605469,2891266.0,241706.0,,,3574.83311153659,2726.822,32.6581888721249,106.85,98.55,2805867.0,8.905606224241039,11.483916748599901,1.4363951E7,31.314,3.1506749E7,68.686,-0.129041421203579,13.874463431465399,46.097520869001706,6.6381520011685,15.941522206333401,100.0,99.8,99.6,99.89118439251659,95.2071599662304,87.50771954655649,98.7175039531575,18.5172742134192,1.2056753424842,3549.84772414635,11.5041572986043,36.8620879820133,47.2744241293005,0.12673397531073702,2.8805645289808703,,,,,5.26086219012771,71.23351515569979,56.0605537526755,,,16.481391976800403,579320.0,,,,2.3217279163401203,3229.6929139601802,14.630053113659198,15.266511770845598,10.663603967633,1.0188213950569398,93.8934817288949,62.38174344202729,9.8909269964145E10,28.923672727141103,1.5414789827060402,100.0,334.50681608440203,9.37858947852033,13.7504208195855,99.9999999999995,10.5557083333333,5.312683333333401,15.868391666666698,1.86194550474709,,6.29805993893417,,52.0,95.6,67.0,,599.2655302,3.38619871406365,4.4213348059363495,12.66769531,70.2653658536586,5815.0,10.8,1.2941346E7,0.83098,20.98,4.42,0.25,,,,31433.0,,,10.0,657.0,55.5,214825.0,2.73386731007446,-6.522411042621759,29.8803309535004,3.234752E11,40.9325964441989,,,,,,,,,10704.0,,,40.5,,,,11.461623650827198,23.600000381469698,7.099999904632571,50.2000007629395,42.5999984741211,8.10000038146973,Ukraine,69.8,2965.142365
BLZ,2004,,10.539884327213,1.11496166355423E8,,,,4.236637934E7,,,,,,,,,,,,,5800000.0,4540000.0,5.2003414194124105,0.0,1.11569E8,1.4428E7,0.0,0.0,1307000.0,1252000.0,1.8361E7,1.744,0.0,8.98794E8,1307000.0,98.5958158218121,2.8877452897385902,0.296592228183073,7612.8884220439295,6793.40955733315,110.443260192871,64.323631286621,,,98.0603866577148,10.788640022277802,6.285840034484861,,,42.646091461181605,39.157970428466705,10.7674503326416,5.29939985275269,11.916449546814,11.0,2109.0,5.0,23.231859207153303,19.0327205657958,1528.0,,62.522819519043,103.67829895019501,6.0,6.0,551.0,48996.0,121.795761108398,81.6883010864258,79.7160186767578,15.483619689941401,27904.0,1178.0,,,5326.50093093497,2523.851,78.6571428571429,99.56,105.32,,,,147485.0,53.42,128600.0,46.58,1.97029433067843,,,1.4344712679066203,,,,,,,,,,,,,,,,31.940587148221603,,,,,,6.6637439719421305,3.0688294607628195,,,62.4761069706269,22810.0,,,197.258131346063,26.3288417180305,587.378089769923,,,8.643096847379121,10.6567078361385,63.959304249184704,53.1700619180413,1.9174729171844E8,,,81.42847086074892,100.66113196171499,3.0946240825233002,2.0714042289494197,100.47083333333299,7.41916666666667,6.52250000000003,13.941666666666698,11.6293711518771,10.7216666666667,9.017532824907619,,97.0,85.3,72.0,,309.92384617,1.8849801971654299,2.50717175283457,8.04553811,68.8848292682927,143.0,27.145,33716.0,,,,,,,,656.0,,,,,,1000.0,0.8967244883490101,-9.525027177766221,,,25.428652455452102,,,,,,22.600000381469698,16.0,60.9000015258789,,,,,,,,,,,,,,Belize,68.7,3831.53819
CHE,2013,3.2881468413E10,-3.31785586808852,-2.27246320726187E10,1.48292473753571,7.66296102E8,1.0487E11,,1.3990100692E10,10.6805046896184,7.5145572974E10,3.73459E11,3.19799E11,5.1703E11,27.360009457967,7.43520803609007,11.381293560100698,13.6729753818181,14.9041253381632,17.500673977786697,,,,,,,,,,,,,,,,,1.41863842235905,0.259125307888254,78505.9444360521,56896.8885231546,,,,,,,,,,,,,,,13.0,,7.0,,,,,,,6.0,7.0,,,,,,56.4882316589355,,,,,26286.724283699503,5676.344,194.78325489224702,101.06,104.47,1221764.0,20.4688781122642,15.103371768249199,2120460.0,26.213,5968886.0,73.787,1.2149631517538502,,,,17.598806301341103,96.30834598881451,,,,,,,39.4463861365084,9.19338319466767,,,0.0,37.94548348006371,2.78714613172149,,1.913,40.59,57.5,182.33810920762798,,38.609677092823205,10.2161149913959,,,31.5416540135641,39516.0,,,,47.431084241935395,,5.685386678053369,0.7760523122230161,,,,,,224.946214996713,102.775233003899,99.31722927807492,99.96729365281651,-0.24099034830051397,-0.0197627653501229,104.495833333334,0.03,2.65916666666667,2.68916666666667,2.70946489720668,2.78875,,,96.0,99.9,89.0,,6186.65127633,3.8985715398818797,7.56764259011812,22.0784172,82.74878048780491,302.0,10.2,4593321.0,,,,,,,,,,,4.0,63.0,28.4,21250.0,0.7378073839627841,,,,,,,,,,3.20000004768372,20.5,73.099998474121,43167.0,26.399999618530302,15.3000001907349,67.6999969482422,13.3000001907349,50.0,36.5,,32.5,24.600000381469698,49.7999992370605,25.2999992370605,4.40000009536743,Switzerland,83.0,84658.88768
COL,2004,,2.5758183537071897,3.0156358735205803E9,,,,2.4331579014E9,,,,,,,,,,,,,1.383E8,4.7484E8,36.345040475802,2.9895E9,4.36633E8,9.02978E8,0.0,0.0,0.0,0.0,9.98235E8,0.47149999999999204,9.019955E9,2.2928601E10,5.1196E9,32.9575053473446,5.2300791949912995,3.8212121317903502,7603801.2874075,7732.3205621183915,131.731979370117,,80.8726272583008,80.8726272583008,99.6179733276367,4.29728984832764,2.62034010887145,70.2232208251953,95.17896270751949,48.324501037597706,35.696868896484396,13.308300018310499,4.079349994659419,15.9412899017334,11.0,188147.0,6.0,27.951719284057603,24.647230148315398,164340.0,92.8037796020508,69.8193893432617,100.02205657959,5.0,6.0,281828.0,5259033.0,118.437622070313,16.9335498809814,78.184700012207,27.4556198120117,3732877.0,317648.0,,,3080.63816947023,3579.066,320.96291331546,97.55,95.03,7141709.0,22.8096953523208,36.8520624058188,1.1414186E7,26.716,3.1309971E7,73.284,1.7580934691662198,,,1.2889898798939399,,,,,,,,,13.2740868496269,12.3407758763601,898.344231812462,19.517689414509498,4.0145618375269,0.0,1.04386652989803,29.164608263188,,,,,,38.2073005858495,2.01712483100496,,,54.54779630464171,1109500.0,,,102.136349725427,,,,3.3,15.1917868944121,14.6207387920658,45.234244415697205,22.145109376831897,2.35198440469636E13,21.5442485361712,,75.836011633886,94.7350599939667,5.9046781727174995,7.2830334069626295,74.0704011733529,7.79833333333333,7.28472338355497,15.0830567168883,7.27050966235957,,6.71207371885115,,89.0,76.6,67.0,,417.7168382,1.28790958592365,4.082866764076351,15.37872082,72.0249512195122,16179.0,19.48,7588676.0,0.1762,45.51,1.13,26.51,,,,,,,9.0,,,336000.0,3.46501517406307,,,,,,,,,,19.7999992370605,19.8999996185303,60.2999992370605,13374.0,16.8999996185303,50.9000015258789,54.7999992370605,,,,,39.0999984741211,22.7000007629395,21.0,18.0,14.3000001907349,Colombia,72.8,274.249442
CUB,2010,,,,,,,,,,,,,,,,,,,,9.714E7,3.223E7,,,,,,,,,,,,,,,2.67828065391444,2.58120596453195,4902.39497536861,18061.009642053898,97.71063232421879,97.49401092529301,95.9193496704102,95.04071044921879,98.6264190673828,0.42943999171257,0.5777900218963621,58.6127586364746,99.5037689208984,29.035009384155302,29.1078090667725,34.834239959716705,12.83726978302,49.312049865722706,12.0,93414.0,6.0,9.12864971160889,9.46352005004883,85476.0,,89.867431640625,98.1243896484375,6.0,6.0,1369.0,852744.0,102.491050720215,,89.23651123046879,95.0022811889648,605758.0,203146.0,,,4016.2201365187702,1937.23,29.895971865118103,94.09,136.04,2164747.0,24.9921984056,19.143275021615,2646442.0,23.403,8661691.0,76.597,0.21477287477548399,60.41634394251739,77.9700493426728,3.3922918133347006,8.4139424623997,0.741705664633773,100.0,92.6,100.0,92.5641663372517,84.2398568987846,95.30720973859991,0.0814495977828749,11.1430591718208,1293.67067048115,15.9107892165316,0.0,0.0,2.68437086854055,17.301865431970903,,,,,,60.6999248402856,31.7897406989853,,,27.546035325065798,106440.0,,,,,,,,,,,,,,,,116.038523226854,,1.20664153344083,,,,,,,,,96.0,91.7,79.0,,1823.03713127,0.508223393329155,10.0554132666708,13.8676483,78.9356341463415,584.0,10.854,1163625.0,0.60767,,,,,,,,,,,,,75500.0,3.32684576904064,,,,,,,,,,18.5,17.0,64.5,,,16.2000007629395,,30.2000007629395,54.0,15.8000001907349,0.134938278493895,15.6000003814697,36.5,54.4000015258789,9.10000038146973,2.5,Cuba,78.0,5676.14143
FRA,2014,3.8244798722E10,0.281230618471468,7.956554269508491E9,1.06729133211611,3.077519634E9,-3.3502967568E10,,,-1.02307542274411,-2.871709193E10,5.81705E11,6.30132E11,1.021132E12,7.94646905597947,5.2990143681234105,19.241109992046898,21.661956940596,20.8715074916905,19.381744610535897,,,,,,,,,,,,,,,,,0.5875012717017111,0.15992455642587802,31127.7384406738,38847.4508624151,,,,,,,,,,,,,,,11.0,,6.0,,,,,,,5.0,7.0,,,,,,,,,,,84574.29084420191,,,,,1.0764433E7,20.5057078686993,22.628481640819203,1.3712117E7,20.711,5.2494813E7,79.289,0.7215460210329101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547557.0,,,,37.9965770595375,,5.28241198,4.16249928399605,,,,,,73.727614496278,41.477426196332004,105.546879837096,103.473141466331,0.507700672785916,0.569871568046992,97.1133333333334,1.14583333333333,,,,,,,99.0,98.7,81.0,,,,,,,2829.0,,3.8805E7,,,,,,,,94927.0,,7.5,8.0,137.0,68.9,,2.20155323761553,,,,,,,,,,2.79999995231628,20.5,75.8000030517578,54168.0,18.8999996185303,11.5,36.5999984741211,18.1000003814697,45.0999984741211,36.5,,42.4000015258789,29.600000381469698,46.9000015258789,23.100000381469698,9.89999961853027,France,82.2,42955.24287
